Align,DE,Dir,GeneName,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0085000,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0085001,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0114544,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339520,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0310673,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0112994,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0113323,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0080382,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0111054,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0111065,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0072767,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0084601,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0309096,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076500,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0089349,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0085899,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0303148,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0087089,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0087090,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0086474,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302905,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339682,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0273412,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0344989,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333657,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0077831,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0299920,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332038,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0074745,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0080592,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0076496,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0100461,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332847,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0273416,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0303750,,,,,,,,,
