,Align,DE,Dir,GeneName
539,Bowtie,EdgeR,down,FBtr0308232
540,Bowtie,EdgeR,down,FBtr0304914
541,Bowtie,EdgeR,down,FBtr0072102
542,Bowtie,EdgeR,down,FBtr0335180
543,Bowtie,EdgeR,down,FBtr0088663
544,Bowtie,EdgeR,down,FBtr0308644
545,Bowtie,EdgeR,down,FBtr0070392
546,Bowtie,EdgeR,down,FBtr0071537
547,Bowtie,EdgeR,down,FBtr0072712
548,Bowtie,EdgeR,down,FBtr0082889
549,Bowtie,EdgeR,down,FBtr0344560
550,Bowtie,EdgeR,down,FBtr0081635
551,Bowtie,EdgeR,down,FBtr0346276
552,Bowtie,EdgeR,down,FBtr0332963
553,Bowtie,EdgeR,down,FBtr0303709
554,Bowtie,EdgeR,down,FBtr0346541
555,Bowtie,EdgeR,down,FBtr0076454
556,Bowtie,EdgeR,down,FBtr0075541
557,Bowtie,EdgeR,down,FBtr0082018
558,Bowtie,EdgeR,down,FBtr0082017
559,Bowtie,EdgeR,down,FBtr0344873
560,Bowtie,EdgeR,down,FBtr0100470
561,Bowtie,EdgeR,down,FBtr0331507
562,Bowtie,EdgeR,down,FBtr0302833
563,Bowtie,EdgeR,down,FBtr0088266
564,Bowtie,EdgeR,down,FBtr0112735
565,Bowtie,EdgeR,down,FBtr0302453
566,Bowtie,EdgeR,down,FBtr0079199
567,Bowtie,EdgeR,down,FBtr0331664
568,Bowtie,EdgeR,down,FBtr0331663
569,Bowtie,EdgeR,down,FBtr0331662
570,Bowtie,EdgeR,down,FBtr0299538
571,Bowtie,EdgeR,down,FBtr0073426
572,Bowtie,EdgeR,down,FBtr0073292
573,Bowtie,EdgeR,down,FBtr0071849
574,Bowtie,EdgeR,down,FBtr0077644
575,Bowtie,EdgeR,down,FBtr0301487
576,Bowtie,EdgeR,down,FBtr0089581
577,Bowtie,EdgeR,down,FBtr0300649
578,Bowtie,EdgeR,down,FBtr0310621
579,Bowtie,EdgeR,down,FBtr0336667
580,Bowtie,EdgeR,down,FBtr0301884
