transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
FBtr0080837	FBtr0080837	1723	1681.57	17787.12	774.01	497.50	100.00
FBtr0080838	FBtr0080838	6624	6582.57	335.03	3.72	2.39	100.00
FBtr0080839	FBtr0080839	6575	6533.57	2462.03	27.57	17.72	100.00
FBtr0080843	FBtr0080843	1012	970.57	687.17	51.81	33.30	100.00
FBtr0080844	FBtr0080844	1893	1851.57	8.24	0.33	0.21	100.00
FBtr0080845	FBtr0080845	2005	1963.57	2459.10	91.64	58.90	100.00
FBtr0080846	FBtr0080846	2356	2314.57	924.03	29.21	18.78	100.00
FBtr0080847	FBtr0080847	2178	2136.57	74.46	2.55	1.64	100.00
FBtr0080848	FBtr0080848	811	769.57	515.09	48.98	31.48	100.00
FBtr0080849	FBtr0080849	878	836.57	665.48	58.21	37.41	100.00
FBtr0080850	FBtr0080850	1126	1084.57	1357.41	91.58	58.86	100.00
FBtr0080851	FBtr0080851	1019	977.57	1331.28	99.65	64.05	100.00
FBtr0080852	FBtr0080852	3130	3088.57	1446.00	34.26	22.02	100.00
FBtr0080853	FBtr0080853	786	744.57	5.00	0.49	0.32	100.00
FBtr0080854	FBtr0080854	3537	3495.57	1728.76	36.19	23.26	100.00
FBtr0080855	FBtr0080855	2379	2337.57	0.00	0.00	0.00	100.00
FBtr0080856	FBtr0080856	3136	3094.57	4097.56	96.89	62.28	100.00
FBtr0080857	FBtr0080857	2770	2728.57	709.67	19.03	12.23	100.00
FBtr0080859	FBtr0080859	1010	968.57	0.00	0.00	0.00	0.00
FBtr0080860	FBtr0080860	1445	1403.57	12681.00	661.11	424.93	100.00
FBtr0080861	FBtr0080861	1440	1398.57	21060.87	1101.91	708.26	100.00
FBtr0080862	FBtr0080862	1724	1682.57	73.65	3.20	2.06	100.00
FBtr0080863	FBtr0080863	3145	3103.57	758.71	17.89	11.50	100.00
FBtr0080864	FBtr0080864	1649	1607.57	11977.79	545.21	350.43	100.00
FBtr0080865	FBtr0080865	1982	1940.57	0.00	0.00	0.00	0.00
FBtr0080866	FBtr0080866	2116	2074.57	4377.87	154.42	99.25	100.00
FBtr0080867	FBtr0080867	2103	2061.57	32.65	1.16	0.74	100.00
FBtr0080868	FBtr0080868	509	467.57	40.00	6.26	4.02	100.00
FBtr0080870	FBtr0080870	1500	1458.57	108.00	5.42	3.48	100.00
FBtr0080871	FBtr0080871	2668	2626.57	201.00	5.60	3.60	100.00
FBtr0080872	FBtr0080872	581	539.57	0.00	0.00	0.00	0.00
FBtr0080873	FBtr0080873	3534	3492.57	1071.18	22.44	14.42	100.00
FBtr0080874	FBtr0080874	3796	3754.57	97.46	1.90	1.22	100.00
FBtr0080875	FBtr0080875	4955	4913.57	0.00	0.00	0.00	100.00
FBtr0080876	FBtr0080876	4982	4940.57	0.00	0.00	0.00	100.00
FBtr0080877	FBtr0080877	4934	4892.57	0.00	0.00	0.00	100.00
